# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.invertedFileNameIndex.requests,1775624179637000000,1775624193557000000,0
VFS.fileByIdCache.hits,1775624179637000000,1775624193557000000,0
VFS.fileChildByName,1775624179637000000,1775624193557000000,13
VFS.fileByIdCache.misses,1775624179637000000,1775624193557000000,0
cacheStateStorage.get.counter,1775624179637000000,1775624193557000000,10
cacheStateStorage.get.duration,1775624179637000000,1775624193557000000,0
cacheStateStorage.set.duration,1775624179637000000,1775624193557000000,0
cacheStateStorage.set.counter,1775624179637000000,1775624193557000000,0
DirectByteBufferAllocator.hits,1775624179637000000,1775624193557000000,3
FileChannelInterruptsRetryer.totalRetriedAttempts,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.nativeBytesInUse,1775624179637000000,1775624193557000000,0
FilePageCache.totalPageDisposalsUs,1775624179637000000,1775624193557000000,881
FilePageCache.totalPageLoadsUs,1775624179637000000,1775624193557000000,548674
FilePageCacheLockFree.totalPageAllocationsWaited,1775624179637000000,1775624193557000000,0
MappedFileStorage.totalPagesMapped,1775624179637000000,1775624193557000000,0
FilePageCache.pageFastCacheHits,1775624179637000000,1775624193557000000,13594
FilePageCache.uncachedFileAccess,1775624179637000000,1775624193557000000,331
FilePageCacheLockFree.totalNativeBytesAllocated,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.totalBytesRead,1775624179637000000,1775624193557000000,0
DirectByteBufferAllocator.misses,1775624179637000000,1775624193557000000,193
FilePageCache.pageHits,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.totalPagesReclaimed,1775624179637000000,1775624193557000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1775624179637000000,1775624193557000000,0
FilePageCache.disposedBuffers,1775624179637000000,1775624193557000000,196
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775624179637000000,1775624193557000000,41943040
FilePageCacheLockFree.totalHeapBytesAllocated,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1775624179637000000,1775624193557000000,0
FilePageCache.pageLoads,1775624179637000000,1775624193557000000,196
FilePageCache.maxCacheSizeInBytes,1775624179637000000,1775624193557000000,202375168
DirectByteBufferAllocator.reclaimed,1775624179637000000,1775624193557000000,43
FilePageCacheLockFree.totalPagesAllocated,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.totalPagesWritten,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.totalPagesWriteMs,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1775624179637000000,1775624193557000000,0
FilePageCache.capacityInBytes,1775624179637000000,1775624193557000000,503316478
FilePageCacheLockFree.totalPagesReadMs,1775624179637000000,1775624193557000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1775624179637000000,1775624193557000000,1068169
DirectByteBufferAllocator.disposed,1775624179637000000,1775624193557000000,153
FilePageCacheLockFree.housekeeperTimeSpentMs,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.totalBytesWritten,1775624179637000000,1775624193557000000,0
StorageLockContext.competingThreads.90P,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.totalPagesHandedOver,1775624179637000000,1775624193557000000,0
FilePageCache.maxRegisteredFiles,1775624179637000000,1775624193557000000,537
StorageLockContext.competingThreads.max,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.totalBytesRequested,1775624179637000000,1775624193557000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775624179637000000,1775624193557000000,41943040
FilePageCacheLockFree.totalClosedStoragesReclaimed,1775624179637000000,1775624193557000000,0
FilePageCacheLockFree.totalPagesRequested,1775624179637000000,1775624193557000000,0
MappedFileStorage.storages,1775624179637000000,1775624193557000000,0
StorageLockContext.competingThreads.avg,1775624179637000000,1775624193557000000,0.0
FilePageCacheLockFree.heapBytesInUse,1775624179637000000,1775624193557000000,0
MappedFileStorage.totalBytesMapped,1775624179637000000,1775624193557000000,0
ReadAction.executionsCount,1775624179637000000,1775624193557000000,50085
AWTEventQueue.dispatchTimeAvgNs,1775624179637000000,1775624193557000000,0.0
AWTEventQueue.eventsDispatched,1775624179637000000,1775624193557000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1775624179637000000,1775624193557000000,70487
FlushQueue.executionTime90PNs,1775624179637000000,1775624193557000000,0
AWTEventQueue.dispatchTimeTotalNS,1775624179637000000,1775624193557000000,11175342453
